iter	Passed	Remaining
0	116	115936
1	221	110770
2	315	104940
3	438	109186
4	549	109365
5	649	107651
6	764	108441
7	875	108509
8	982	108199
9	1086	107557
10	1186	106647
11	1306	107577
12	1412	107278
13	1525	107473
14	1633	107298
15	1743	107240
16	1837	106243
17	1951	106455
18	2054	106100
19	2158	105755
20	2256	105214
21	2366	105183
22	2463	104632
23	2563	104256
24	2674	104287
25	2774	103929
26	2882	103883
27	2985	103654
28	3085	103306
29	3189	103137
30	3289	102826
31	3396	102753
32	3506	102764
33	3605	102447
34	3707	102223
35	3806	101923
36	3903	101586
37	4003	101344
38	4105	101156
39	4209	101016
40	4318	101020
41	4422	100881
42	4526	100735
43	4623	100448
44	4730	100390
45	4826	100090
46	4925	99879
47	5040	99972
48	5146	99877
49	5247	99697
50	5353	99626
51	5459	99526
52	5574	99602
53	5678	99478
54	5786	99419
55	5888	99257
56	5992	99139
57	6098	99055
58	6213	99100
59	6315	98937
60	6424	98896
61	6526	98733
62	6627	98567
63	6724	98346
64	6831	98269
65	6926	98019
66	7027	97862
67	7138	97839
68	7237	97652
69	7334	97449
70	7437	97315
71	7543	97231
72	7640	97029
73	7740	96857
74	7850	96827
75	7954	96706
76	8053	96540
77	8160	96464
78	8247	96152
79	8347	95995
80	8446	95836
81	8553	95759
82	8638	95444
83	8743	95342
84	8852	95299
85	8958	95210
86	9054	95022
87	9158	94910
88	9252	94712
89	9363	94679
90	9470	94603
91	9580	94558
92	9684	94448
93	9768	94153
94	9869	94022
95	9980	93980
96	10076	93803
97	10170	93612
98	10276	93523
99	10379	93411
100	10466	93161
101	10576	93110
102	10683	93043
103	10790	92965
104	10901	92920
105	11007	92839
106	11104	92673
107	11216	92636
108	11312	92470
109	11412	92341
110	11501	92116
111	11591	91905
112	11690	91764
113	11794	91663
114	11895	91546
115	11993	91401
116	12100	91324
117	12207	91243
118	12312	91156
119	12427	91133
120	12532	91042
121	12641	90975
122	12742	90853
123	12838	90699
124	12927	90495
125	13024	90346
126	13128	90248
127	13237	90182
128	13346	90115
129	13450	90015
130	13554	89917
131	13657	89806
132	13760	89703
133	13859	89567
134	13971	89522
135	14069	89380
136	14184	89351
137	14296	89303
138	14400	89201
139	14490	89013
140	14586	88863
141	14695	88794
142	14811	88764
143	14920	88693
144	15013	88527
145	15110	88386
146	15212	88274
147	15322	88209
148	15433	88145
149	15532	88019
150	15634	87907
151	15739	87809
152	15851	87752
153	15950	87625
154	16063	87571
155	16165	87459
156	16276	87396
157	16390	87344
158	16491	87227
159	16607	87187
160	16717	87120
161	16823	87022
162	16914	86853
163	17024	86783
164	17136	86722
165	17244	86639
166	17344	86513
167	17447	86407
168	17551	86302
169	17667	86258
170	17775	86174
171	17882	86086
172	17980	85954
173	18077	85818
174	18170	85661
175	18282	85596
176	18377	85449
177	18477	85328
178	18561	85135
179	18662	85016
180	18758	84877
181	18857	84755
182	18948	84593
183	19058	84520
184	19170	84453
185	19267	84322
186	19359	84167
187	19461	84058
188	19552	83900
189	19656	83798
190	19762	83704
191	19854	83555
192	19968	83495
193	20087	83455
194	20204	83408
195	20305	83295
196	20418	83228
197	20519	83112
198	20630	83040
199	20731	82924
200	20839	82840
201	20950	82764
202	21054	82662
203	21156	82550
204	21254	82427
205	21358	82325
206	21477	82278
207	21589	82207
208	21695	82112
209	21809	82044
210	21913	81941
211	22015	81832
212	22129	81765
